tichet,single,card,male,age,fc,gomi,goshuin
0,0,1,1,1,1.369863014,1,0
0,1,1,1,0,1.095890411,0,0
0,1,0,1,0,2.054794521,0,0
0,0,0,1,1,0.002739726,0,0
0,0,0,1,1,1,0,0
0,0,1,1,0,0.821917808,0,0
0,1,0,0,1,1,0,0
0,0,0,1,1,0.071232877,0,0
0,0,0,0,1,2.739726027,0,1
0,0,1,1,1,1,0,0
0,0,1,1,0,0.131506849,1,1
0,1,0,1,1,0.178082192,1,0
0,0,1,1,1,1.095890411,0,0
0,1,1,1,0,1.369863014,0,0
0,0,1,0,0,2.739726027,0,1
0,1,0,1,1,0.44109589,0,0
0,0,0,1,0,3.01369863,0,0
0,0,0,1,0,3.961643836,1,0
0,0,0,1,1,1.260273973,0,0
0,1,0,0,1,0.767123288,0,1
0,1,1,0,0,1.367123288,0,0
0,1,0,0,1,0.04109589,0,0
0,0,0,1,1,0.821917808,1,0
0,1,1,1,1,3.279452055,0,0
0,0,0,0,1,1.068493151,0,0
0,0,1,1,0,1.01369863,0,0
0,0,0,1,1,0.328767123,0,0
0,0,0,0,1,0.005479452,0,0
0,1,1,1,1,1.095890411,0,1
0,1,0,1,1,0.95890411,0,0
0,0,0,0,0,2.821917808,0,0
0,1,0,1,0,1.095890411,0,0
0,1,1,1,0,1.495890411,0,0
0,1,1,1,0,2.484931507,0,0
0,0,0,1,0,0,0,0
0,0,1,1,1,2.739726027,1,0
0,1,0,1,1,0.002739726,0,0
0,0,0,0,1,0.821917808,0,0
0,0,1,0,1,0.057534247,0,0
0,0,0,1,1,0.005479452,0,0
0,0,1,1,0,0.819178082,1,0
0,1,0,1,1,0.849315068,0,0
0,0,1,1,1,1.490410959,0,0
0,1,1,1,0,3.361643836,1,0
0,0,0,1,1,0.547945205,0,0
0,1,0,1,1,1.01369863,0,0
0,0,1,0,0,2.931506849,0,0
0,0,1,1,1,0.008219178,0,0
0,0,0,1,1,1.04109589,1,0
0,0,1,1,0,2.660273973,0,0
0,1,0,1,1,1.095890411,0,0
0,0,1,1,1,0,0,1
0,0,1,0,1,1.917808219,1,0
0,1,1,1,0,1.01369863,0,0
0,1,0,1,0,2.465753425,0,0
0,1,0,0,1,2.739726027,0,0
0,1,0,1,0,2.739726027,0,0
0,1,1,1,0,1.095890411,0,0
0,0,0,1,1,1.643835616,0,1
0,0,1,1,0,2.739726027,0,0
0,0,1,1,1,0.98630137,0,0
0,0,1,0,1,3.835616438,0,1
0,0,0,1,1,0.657534247,0,0
0,0,0,1,1,0.821917808,0,1
0,0,1,1,0,3.945205479,0,0
0,0,1,0,0,1.534246575,0,1
0,1,1,1,0,3.835616438,0,0
0,0,1,1,1,2.98630137,0,0
0,1,1,1,1,1.150684932,1,0
0,0,0,1,1,0.328767123,0,0
0,0,0,1,1,1.095890411,0,0
0,0,1,1,1,1.04109589,0,0
0,0,1,0,1,1.890410959,0,0
0,0,1,1,0,2.739726027,0,0
0,1,0,0,1,1.065753425,0,0
0,1,0,1,1,1.821917808,0,0
0,0,1,1,0,3.945205479,0,0
0,0,1,1,1,2.520547945,1,0
0,1,1,1,0,3.961643836,0,0
0,1,1,1,0,3.342465753,0,0
0,0,1,1,0,2.824657534,0,0
0,0,1,1,0,2.739726027,0,0
0,1,0,1,0,2.975342466,0,0
0,0,0,1,1,0.02739726,0,0
0,1,0,1,0,0.794520548,0,0
0,1,1,1,0,1.657534247,0,0
0,0,1,1,0,0.904109589,0,0
0,0,0,1,1,0.493150685,1,0
0,1,0,1,0,2.739726027,0,0
0,0,1,1,1,1.232876712,0,0
0,0,1,1,0,0.005479452,0,1
0,0,0,1,1,0.002739726,0,1
0,1,1,0,1,1.095890411,1,0
0,0,1,1,0,0.010958904,0,0
0,1,0,1,0,3.287671233,0,0
0,0,0,0,1,0,0,0
0,1,1,1,1,0.008219178,0,0
0,1,1,1,0,3.961643836,0,1
0,1,0,1,1,1.232876712,0,0
0,1,0,1,1,0,0,0
0,0,0,1,1,0,0,0
0,1,1,1,0,4.465753425,0,0
0,1,0,1,1,1,0,0
0,1,1,1,0,2.073972603,0,0
0,1,1,1,0,3.161643836,0,0
0,1,1,1,0,3.835616438,0,0
0,1,1,1,0,0,0,0
0,0,0,1,1,0.317808219,0,0
0,1,0,1,0,1.095890411,1,0
0,1,0,1,1,1.095890411,0,0
0,1,1,1,0,3.446575342,0,0
0,0,1,0,1,0.821917808,0,0
0,1,0,1,0,1.797260274,1,0
0,0,1,1,1,2.191780822,0,0
0,1,0,1,1,0.082191781,0,0
0,0,0,1,1,0.008219178,0,0
0,0,0,0,1,2.410958904,0,0
0,0,0,1,1,3.287671233,0,1
0,0,0,1,1,1.082191781,0,0
0,1,1,1,0,0.273972603,0,0
0,1,1,1,0,3.835616438,0,1
0,0,0,1,1,1,0,1
0,0,0,1,1,3.961643836,0,0
0,0,1,1,1,0.268493151,0,0
0,0,1,0,1,1,0,0
0,0,1,0,1,1.917808219,0,0
0,1,1,0,1,2.191780822,0,0
0,0,0,0,1,0.635616438,1,0
0,0,1,1,0,1.369863014,0,1
0,1,1,1,0,2.106849315,0,0
